Collection Date,Host Name,Individual Sandwiches,Group Collections
2021-12-08,E Cobb Roswell,1688,
2021-12-08,Decatur,530,
2021-12-08,Peachtree Corners,307,
2021-12-08,Sandy Springs,850,
2021-12-15,Alpharetta,868,
2021-12-15,Previous Oak Grove,103,
2021-12-15,Dunwoody PTC,1890,
2021-12-15,E Cobb Roswell,2214,
2021-12-15,Decatur,80,
2021-12-15,Peachtree Corners,558,
2021-12-15,Sandy Springs,575,
2022-01-03,Alpharetta,818,
2022-01-03,Decatur,106,
2022-01-03,Snellville,120,
2022-01-05,Alpharetta,438,
2022-01-05,Dunwoody PTC,3293,
2022-01-05,E Cobb Roswell,1292,
2022-01-05,Peachtree Corners,371,
2022-01-05,Sandy Springs,1013,
2022-01-17,Alpharetta,900,
2022-01-17,Previous Buckhead,225,
2022-01-17,Dunwoody PTC,5033,
2022-01-17,E Cobb Roswell,879,
2022-01-17,Sandy Springs,513,
2022-01-19,Alpharetta,649,
2022-01-19,Previous Buckhead,263,
2022-01-19,Dunwoody PTC,2412,
2022-01-19,E Cobb Roswell,4109,
2022-01-19,Decatur,566,
2022-01-19,Peachtree Corners,351,
2022-01-19,Sandy Springs,162,
2022-01-26,Alpharetta,842,
2022-01-26,Dunwoody PTC,3975,
2022-01-26,E Cobb Roswell,2210,
2022-01-26,Decatur,28,
2022-01-26,Peachtree Corners,282,
2022-01-26,Sandy Springs,755,
2022-02-02,Alpharetta,974,
2022-02-02,Previous Buckhead,530,
2022-02-02,Previous Oak Grove,239,
2022-02-02,Dunwoody PTC,2478,
2022-02-02,E Cobb Roswell,2011,
2022-02-02,Decatur,39,
2022-02-02,Peachtree Corners,252,
2022-02-02,Sandy Springs,120,
2022-02-02,Intown Druid Hills,185,
2022-02-03,Alpharetta,2236,
2022-02-03,Previous Buckhead,335,
2022-02-03,Previous Oak Grove,100,
2022-02-03,Dunwoody PTC,2341,
2022-02-03,E Cobb Roswell,1861,
2022-02-03,Decatur,84,
2022-02-03,Peachtree Corners,344,
2022-02-03,Sandy Springs,401,
2022-02-03,Intown Druid Hills,130,
2022-02-04,Alpharetta,1801,
2022-02-04,Previous Buckhead,276,
2022-02-04,Dunwoody PTC,4550,
2022-02-04,E Cobb Roswell,2311,
2022-02-04,Decatur,165,
2022-02-04,Peachtree Corners,462,
2022-02-04,Sandy Springs,486,
2022-02-04,Intown Druid Hills,224,
2022-02-05,Alpharetta,1190,
2022-02-05,Previous Buckhead,422,
2022-02-05,Previous Oak Grove,200,
2022-02-05,Dunwoody PTC,3564,
2022-02-05,E Cobb Roswell,1803,
2022-02-05,Peachtree Corners,551,
2022-02-05,Sandy Springs,442,
2022-02-05,Intown Druid Hills,304,
2022-02-06,Alpharetta,1569,
2022-02-06,Previous Buckhead,1326,
2022-02-06,Previous Oak Grove,391,
2022-02-06,Dunwoody PTC,3121,
2022-02-06,E Cobb Roswell,1809,
2022-02-06,Decatur,68,
2022-02-06,Peachtree Corners,249,
2022-02-06,Sandy Springs,364,
2022-02-06,Intown Druid Hills,368,
2022-02-07,Alpharetta,1054,
2022-02-07,Previous Buckhead,486,
2022-02-07,Previous Oak Grove,287,
2022-02-07,Dunwoody PTC,2844,
2022-02-07,E Cobb Roswell,1877,
2022-02-07,Peachtree Corners,773,
2022-02-07,Sandy Springs,443,
2022-02-07,Intown Druid Hills,102,
2022-02-07,Snellville,80,
2022-02-08,Alpharetta,2291,
2022-02-08,Previous Buckhead,638,
2022-02-08,Previous Oak Grove,110,
2022-02-08,Dunwoody PTC,1927,
2022-02-08,E Cobb Roswell,1330,
2022-02-08,Peachtree Corners,230,
2022-02-08,Sandy Springs,330,
2022-02-08,Intown Druid Hills,235,
2022-02-08,Snellville,150,
2022-02-08,Groups,160,
