Collection Date,Host Name,Individual Sandwiches,Group Collections
2023-02-15,Dunwoody PTC,2342,
2023-02-15,E Cobb Roswell,1292,
2023-02-15,Decatur,269,
2023-02-15,Sandy Springs,479,
2023-02-15,Intown Druid Hills,855,
2023-02-15,Snellville,191,
2023-02-15,Groups,4485,
2023-02-15,Flowery Branch,305,
2023-02-15,Groups - Main,4485,
2023-02-22,Alpharetta,2195,
2023-02-22,Dunwoody PTC,2462,
2023-02-22,E Cobb Roswell,1513,
2023-02-22,Decatur,72,
2023-02-22,Sandy Springs,618,
2023-02-22,Intown Druid Hills,792,
2023-02-22,Snellville,103,
2023-02-22,Groups,200,
2023-02-22,Flowery Branch,1230,
2023-02-22,Groups - Main,200,
2023-03-01,Alpharetta,1251,
2023-03-01,Dunwoody PTC,2243,
2023-03-01,E Cobb Roswell,885,
2023-03-01,Decatur,498,
2023-03-01,Sandy Springs,958,
2023-03-01,Intown Druid Hills,350,
2023-03-01,Snellville,159,
2023-03-01,Flowery Branch,436,
2023-03-08,Alpharetta,1334,
2023-03-08,Dunwoody PTC,2572,
2023-03-08,E Cobb Roswell,1075,
2023-03-08,Decatur,220,
2023-03-08,Sandy Springs,313,
2023-03-08,Intown Druid Hills,326,
2023-03-08,Snellville,217,
2023-03-08,Flowery Branch,536,
2023-03-22,Alpharetta,3005,
2023-03-22,Dunwoody PTC,2775,
2023-03-22,E Cobb Roswell,882,
2023-03-22,Decatur,433,
2023-03-22,Sandy Springs,747,
2023-03-22,Intown Druid Hills,279,
2023-03-22,Snellville,189,
2023-03-22,Flowery Branch,371,
2023-03-29,Alpharetta,702,
2023-03-29,Dunwoody PTC,4041,
2023-03-29,E Cobb Roswell,1310,
2023-03-29,Decatur,220,
2023-03-29,Sandy Springs,1319,
2023-03-29,Intown Druid Hills,1328,
2023-03-29,Snellville,104,
2023-03-29,Flowery Branch,471,
2023-03-29,Groups - Main,503,
2023-04-05,Alpharetta,930,
2023-04-05,Dunwoody PTC,3763,
2023-04-05,E Cobb Roswell,1057,
2023-04-05,Decatur,60,
2023-04-05,Sandy Springs,655,
2023-04-05,Intown Druid Hills,493,
2023-04-05,Snellville,594,
2023-04-05,Flowery Branch,267,
2023-04-05,Groups - Main,1238,
2023-04-12,Alpharetta,1034,
2023-04-12,Dunwoody PTC,2344,
2023-04-12,E Cobb Roswell,1078,
2023-04-12,Decatur,240,
2023-04-12,Sandy Springs,747,
2023-04-12,Intown Druid Hills,500,
2023-04-12,Snellville,107,
2023-04-12,Flowery Branch,300,
2023-04-12,Groups - Main,500,
2023-04-19,Alpharetta,1956,
2023-04-19,Dunwoody PTC,2946,
2023-04-19,E Cobb Roswell,1968,
2023-04-19,Decatur,93,
2023-04-19,Sandy Springs,938,
2023-04-19,Intown Druid Hills,377,
2023-04-19,Snellville,239,
2023-04-19,Flowery Branch,496,
2023-04-19,Groups - Main,5019,
2023-04-26,Alpharetta,1077,
2023-04-26,Dunwoody PTC,4789,
2023-04-26,E Cobb Roswell,1034,
2023-04-26,Decatur,232,
2023-04-26,Sandy Springs,1263,
2023-04-26,Intown Druid Hills,531,
2023-04-26,Snellville,190,
2023-04-26,Flowery Branch,374,
2023-04-26,Groups - Main,1906,
2023-05-03,Alpharetta,1091,
2023-05-03,Dunwoody PTC,2875,
2023-05-03,E Cobb Roswell,1646,
2023-05-03,Decatur,222,
2023-05-03,Sandy Springs,720,
2023-05-03,Intown Druid Hills,450,
2023-05-03,Snellville,84,
2023-05-03,Flowery Branch,447,
2023-05-03,Groups - Main,500,
2023-05-10,Alpharetta,1266,
2023-05-10,Dunwoody PTC,3853,
2023-05-10,E Cobb Roswell,1341,
2023-05-10,Decatur,156,
2023-05-10,Sandy Springs,1165,
2023-05-10,Intown Druid Hills,218,
2023-05-10,Snellville,94,
2023-05-10,Flowery Branch,221,
2023-05-10,Groups - Main,808,
2023-05-17,Alpharetta,622,
2023-05-17,Dunwoody PTC,1472,
2023-05-17,E Cobb Roswell,1246,
2023-05-17,Decatur,125,
2023-05-17,Sandy Springs,988,
2023-05-17,Intown Druid Hills,233,
2023-05-17,Snellville,230,
2023-05-17,Flowery Branch,538,
2023-05-17,Groups - Main,350,
2023-05-24,Alpharetta,2481,
2023-05-24,Dunwoody PTC,2035,
2023-05-24,E Cobb Roswell,1235,
2023-05-24,Decatur,321,
2023-05-24,Sandy Springs,585,
2023-05-24,Intown Druid Hills,468,
2023-05-24,Flowery Branch,184,
2023-05-24,Groups - Main,1900,
2023-05-31,Alpharetta,574,
2023-05-31,Dunwoody PTC,1360,
2023-05-31,E Cobb Roswell,1607,
2023-05-31,Decatur,172,
2023-05-31,Sandy Springs,304,
2023-05-31,Intown Druid Hills,198,
2023-05-31,Snellville,87,
2023-05-31,Flowery Branch,284,
2023-05-31,Groups - Main,841,
2023-06-07,Alpharetta,1095,
2023-06-07,Dunwoody PTC,2544,
2023-06-07,E Cobb Roswell,2439,
2023-06-07,Decatur,100,
2023-06-07,Sandy Springs,533,
2023-06-07,Intown Druid Hills,560,
2023-06-07,Snellville,138,
2023-06-07,Flowery Branch,255,
2023-06-07,Groups - Main,1508,
2023-06-14,Alpharetta,1399,
2023-06-14,Dunwoody PTC,3516,
2023-06-14,E Cobb Roswell,2231,
2023-06-14,Decatur,102,
2023-06-14,Sandy Springs,811,
2023-06-14,Intown Druid Hills,570,
2023-06-14,Snellville,39,
2023-06-14,Flowery Branch,391,
2023-06-14,Groups - Main,1931,
2023-06-21,Alpharetta,1724,
2023-06-21,Dunwoody PTC,2274,
2023-06-21,E Cobb Roswell,1882,
2023-06-21,Decatur,100,
2023-06-21,Sandy Springs,370,
2023-06-21,Intown Druid Hills,196,
2023-06-21,Flowery Branch,304,
2023-06-21,Groups - Main,1347,
2023-06-28,Alpharetta,1672,
2023-06-28,Dunwoody PTC,1599,
2023-06-28,E Cobb Roswell,1880,
2023-06-28,Decatur,126,
2023-06-28,Sandy Springs,460,
2023-06-28,Intown Druid Hills,179,
2023-06-28,Snellville,96,
2023-06-28,Groups - Main,3098,
2023-07-11,Alpharetta,2143,
2023-07-11,Dunwoody PTC,2350,
2023-07-11,E Cobb Roswell,1690,
2023-07-11,Sandy Springs,481,
2023-07-11,Intown Druid Hills,656,
2023-07-11,Snellville,242,
2023-07-11,Flowery Branch,283,
2023-07-11,Groups - Main,1664,
2023-07-19,Alpharetta,1035,
2023-07-19,Dunwoody PTC,2606,
2023-07-19,E Cobb Roswell,1448,
2023-07-19,Sandy Springs,532,
2023-07-19,Intown Druid Hills,629,
2023-07-19,Snellville,94,
2023-07-19,Flowery Branch,366,
2023-07-19,Groups - Main,2113,
2023-07-26,Alpharetta,2097,
2023-07-26,Dunwoody PTC,1904,
2023-07-26,E Cobb Roswell,1864,
2023-07-26,Decatur,85,
2023-07-26,Sandy Springs,690,
2023-07-26,Intown Druid Hills,923,
2023-07-26,Snellville,127,
2023-07-26,Flowery Branch,349,
2023-07-26,Groups - Main,855,
2023-08-02,Alpharetta,1528,
2023-08-02,Dunwoody PTC,2480,
2023-08-02,E Cobb Roswell,862,
2023-08-02,Sandy Springs,522,
2023-08-02,Intown Druid Hills,214,
2023-08-02,Snellville,128,
2023-08-02,Flowery Branch,235,
2023-08-02,Groups - Main,555,
2023-08-09,Alpharetta,1962,
2023-08-09,Dunwoody PTC,1777,
2023-08-09,E Cobb Roswell,1105,
2023-08-09,Sandy Springs,457,
2023-08-09,Intown Druid Hills,362,
2023-08-09,Snellville,230,
2023-08-09,Flowery Branch,206,
2023-08-09,Groups - Main,432,
2023-08-16,Alpharetta,1292,
2023-08-16,Dunwoody PTC,2218,
2023-08-16,E Cobb Roswell,1570,
2023-08-16,Decatur,66,
2023-08-16,Sandy Springs,298,
2023-08-16,Intown Druid Hills,245,
2023-08-16,Snellville,162,
2023-08-16,Flowery Branch,190,
2023-08-16,Groups - Main,7479,
2023-08-24,Alpharetta,1276,
2023-08-24,Dunwoody PTC,1650,
2023-08-24,E Cobb Roswell,970,
2023-08-24,Decatur,97,
2023-08-24,Sandy Springs,579,
2023-08-24,Intown Druid Hills,237,
2023-08-24,Snellville,172,
2023-08-24,Flowery Branch,346,
2023-08-24,Groups - Main,1235,
2023-08-30,Alpharetta,1090,
2023-08-30,Dunwoody PTC,1182,
2023-08-30,E Cobb Roswell,1095,
2023-08-30,Decatur,106,
2023-08-30,Sandy Springs,459,
2023-08-30,Intown Druid Hills,178,
2023-08-30,Snellville,116,
2023-08-30,Flowery Branch,349,
2023-08-30,Groups - Main,1485,
2023-09-06,Alpharetta,2262,
2023-09-06,Dunwoody PTC,1881,
2023-09-06,E Cobb Roswell,1060,
2023-09-06,Decatur,92,
2023-09-06,Sandy Springs,305,
2023-09-06,Intown Druid Hills,400,
2023-09-06,Snellville,80,
2023-09-06,Flowery Branch,249,
2023-09-06,Groups - Main,1106,
2023-09-13,Alpharetta,615,
2023-09-13,Dunwoody PTC,2090,
2023-09-13,E Cobb Roswell,1605,
2023-09-13,Decatur,82,
2023-09-13,Sandy Springs,888,
2023-09-13,Intown Druid Hills,746,
2023-09-13,Snellville,228,
2023-09-13,Flowery Branch,200,
2023-09-13,Groups - Main,2045,
2023-09-20,Alpharetta,1842,
2023-09-20,Dunwoody PTC,2138,
2023-09-20,E Cobb Roswell,1614,
2023-09-20,Sandy Springs,495,
2023-09-20,Intown Druid Hills,437,
2023-09-20,Snellville,109,
2023-09-20,Flowery Branch,635,
2023-09-20,Groups - Main,1178,
2023-09-27,Alpharetta,1922,
2023-09-27,Dunwoody PTC,1520,
2023-09-27,E Cobb Roswell,869,
2023-09-27,Decatur,142,
2023-09-27,Sandy Springs,827,
2023-09-27,Intown Druid Hills,635,
2023-09-27,Snellville,113,
2023-09-27,Flowery Branch,438,
2023-09-27,Groups - Main,3005,
2023-10-05,Alpharetta,1022,
2023-10-05,Dunwoody PTC,2880,
2023-10-05,E Cobb Roswell,1147,
2023-10-05,Decatur,125,
2023-10-05,Sandy Springs,589,
2023-10-05,Intown Druid Hills,395,
2023-10-05,Snellville,171,
2023-10-05,Flowery Branch,409,
2023-10-05,Groups - Main,1482,
2023-10-11,Alpharetta,2187,
2023-10-11,Dunwoody PTC,1127,
2023-10-11,E Cobb Roswell,1605,
2023-10-11,Decatur,92,
2023-10-11,Sandy Springs,444,
2023-10-11,Intown Druid Hills,580,
2023-10-11,Snellville,107,
2023-10-11,Flowery Branch,240,
2023-10-11,Groups - Main,194,
2023-10-18,Alpharetta,2107,
2023-10-18,Dunwoody PTC,1800,
2023-10-18,E Cobb Roswell,722,
2023-10-18,Decatur,130,
2023-10-18,Sandy Springs,1159,
2023-10-18,Intown Druid Hills,751,
2023-10-18,Snellville,126,
2023-10-18,Flowery Branch,205,
2023-10-18,Groups - Main,3635,
2023-10-25,Alpharetta,1339,
2023-10-25,Dunwoody PTC,1349,
2023-10-25,E Cobb Roswell,1379,
2023-10-25,Decatur,121,
2023-10-25,Sandy Springs,669,
2023-10-25,Intown Druid Hills,1198,
2023-10-25,Snellville,105,
2023-10-25,Flowery Branch,1163,
2023-10-25,Groups - Main,2985,
2023-11-01,Alpharetta,781,
2023-11-01,Dunwoody PTC,2451,
2023-11-01,E Cobb Roswell,937,
2023-11-01,Decatur,135,
2023-11-01,Sandy Springs,296,
2023-11-01,Intown Druid Hills,365,
2023-11-01,Snellville,129,
2023-11-01,Flowery Branch,219,
2023-11-01,Groups - Main,1055,
2023-11-08,Alpharetta,2028,
2023-11-08,Dunwoody PTC,1805,
2023-11-08,E Cobb Roswell,1552,
2023-11-08,Sandy Springs,928,
2023-11-08,Intown Druid Hills,935,
2023-11-08,Snellville,88,
2023-11-08,Flowery Branch,267,
2023-11-08,Groups - Main,1761,
2023-11-15,Alpharetta,1722,
2023-11-15,Dunwoody PTC,2611,
2023-11-15,E Cobb Roswell,1501,
2023-11-15,Decatur,91,
2023-11-15,Sandy Springs,996,
2023-11-15,Intown Druid Hills,626,
2023-11-15,Snellville,90,
2023-11-15,Flowery Branch,499,
2023-11-15,Groups - Main,11278,
2023-11-29,Alpharetta,4232,
2023-11-29,Dunwoody PTC,2404,
2023-11-29,E Cobb Roswell,1537,
2023-11-29,Decatur,82,
2023-11-29,Sandy Springs,718,
2023-11-29,Intown Druid Hills,1203,
2023-11-29,Snellville,91,
2023-11-29,Flowery Branch,388,
2023-11-29,Groups - Main,332,
2023-12-06,Alpharetta,961,
2023-12-06,Dunwoody PTC,1714,
2023-12-06,E Cobb Roswell,2233,
2023-12-06,Decatur,111,
2023-12-06,Sandy Springs,944,
2023-12-06,Intown Druid Hills,1387,
2023-12-06,Snellville,128,
2023-12-06,Flowery Branch,292,
2023-12-06,Groups - Main,4981,
2023-12-13,Alpharetta,1343,
2023-12-13,Dunwoody PTC,1381,
2023-12-13,E Cobb Roswell,1806,
2023-12-13,Decatur,113,
2023-12-13,Sandy Springs,630,
2023-12-13,Intown Druid Hills,1161,
2023-12-13,Snellville,109,
2023-12-13,Flowery Branch,362,
2023-12-13,Groups - Main,1844,
2023-12-20,Alpharetta,2367,
2023-12-20,Dunwoody PTC,1792,
2023-12-20,E Cobb Roswell,1787,
2023-12-20,Decatur,184,
2023-12-20,Sandy Springs,1052,
2023-12-20,Intown Druid Hills,460,
2023-12-20,Snellville,106,
2023-12-20,Groups - Main,8696,
2024-01-03,Alpharetta,609,
2024-01-03,Dunwoody PTC,1480,
2024-01-03,E Cobb Roswell,1631,
2024-01-03,Sandy Springs,283,
2024-01-03,Intown Druid Hills,625,
2024-01-03,Snellville,152,
2024-01-03,Flowery Branch,262,
2024-01-10,Alpharetta,2000,
2024-01-10,Dunwoody PTC,2160,
2024-01-10,E Cobb Roswell,1162,
2024-01-10,Decatur,102,
2024-01-10,Sandy Springs,771,
2024-01-10,Intown Druid Hills,225,
2024-01-10,Snellville,185,
2024-01-10,Groups - Main,485,
2024-01-17,Alpharetta,905,
2024-01-17,Dunwoody PTC,1570,
2024-01-17,E Cobb Roswell,1297,
2024-01-17,Decatur,320,
2024-01-17,Sandy Springs,1013,
2024-01-17,Intown Druid Hills,1208,
2024-01-17,Snellville,85,
2024-01-17,Flowery Branch,480,
2024-01-17,Groups - Main,12252,
2024-01-24,Alpharetta,1788,
2024-01-24,Dunwoody PTC,1885,
2024-01-24,E Cobb Roswell,1278,
2024-01-24,Decatur,82,
2024-01-24,Sandy Springs,700,
2024-01-24,Intown Druid Hills,823,
2024-01-24,Snellville,180,
2024-01-24,Groups - Main,1718,
2024-01-31,Alpharetta,1859,
2024-01-31,Dunwoody PTC,1437,
2024-01-31,E Cobb Roswell,1296,
2024-01-31,Decatur,128,
2024-01-31,Sandy Springs,935,
2024-01-31,Intown Druid Hills,723,
2024-01-31,Flowery Branch,232,
2024-01-31,Groups - Main,3254,
2024-02-07,Alpharetta,1526,
2024-02-07,Dunwoody PTC,1465,
2024-02-07,E Cobb Roswell,1048,
2024-02-07,Decatur,72,
2024-02-07,Sandy Springs,605,
2024-02-07,Intown Druid Hills,214,
2024-02-07,Snellville,110,
2024-02-07,Groups - Main,1960,
2024-02-14,Alpharetta,3087,
2024-02-14,Dunwoody PTC,1594,
2024-02-14,E Cobb Roswell,821,
2024-02-14,Sandy Springs,508,
2024-02-14,Intown Druid Hills,930,
2024-02-14,Snellville,108,
2024-02-14,Flowery Branch,287,
2024-02-14,Groups - Main,3141,
2024-02-21,Alpharetta,2225,
2024-02-21,Dunwoody PTC,2628,
2024-02-21,E Cobb Roswell,1789,
2024-02-21,Decatur,92,
2024-02-21,Sandy Springs,822,
2024-02-21,Intown Druid Hills,1351,
2024-02-21,Snellville,396,
2024-02-21,Groups - Main,7050,
2024-02-28,Alpharetta,938,
2024-02-28,Dunwoody PTC,1708,
2024-02-28,E Cobb Roswell,946,
2024-02-28,Decatur,81,
2024-02-28,Sandy Springs,451,
2024-02-28,Intown Druid Hills,749,
2024-02-28,Snellville,74,
2024-02-28,Flowery Branch,353,
2024-02-28,Groups - Main,1000,
2024-03-06,Alpharetta,1324,
2024-03-06,Dunwoody PTC,1351,
2024-03-06,E Cobb Roswell,1160,
2024-03-06,Decatur,102,
2024-03-06,Sandy Springs,367,
2024-03-06,Intown Druid Hills,745,
2024-03-06,Snellville,74,
2024-03-06,Flowery Branch,264,
2024-03-06,Groups - Main,4544,
2024-03-13,Alpharetta,1254,
2024-03-13,Dunwoody PTC,1878,
2024-03-13,E Cobb Roswell,1849,
2024-03-13,Decatur,106,
2024-03-13,Sandy Springs,788,
2024-03-13,Intown Druid Hills,277,
2024-03-13,Snellville,114,
2024-03-13,Groups - Main,1734,
2024-03-20,Alpharetta,795,
2024-03-20,Dunwoody PTC,1672,
2024-03-20,E Cobb Roswell,1845,
2024-03-20,Decatur,82,
2024-03-20,Sandy Springs,736,
2024-03-20,Intown Druid Hills,941,
2024-03-20,Flowery Branch,473,
2024-03-20,Groups - Main,4771,
2024-04-03,Alpharetta,757,
2024-04-03,Dunwoody PTC,2160,
2024-04-03,E Cobb Roswell,1629,
2024-04-03,Sandy Springs,179,
2024-04-03,Intown Druid Hills,482,
2024-04-03,Groups - Main,200,
2024-04-10,Alpharetta,954,
2024-04-10,Dunwoody PTC,1588,
2024-04-10,Decatur,102,
2024-04-10,Sandy Springs,1038,
2024-04-10,Intown Druid Hills,2640,
2024-04-10,Flowery Branch,250,
2024-04-10,Groups - Main,4287,
2024-04-17,Alpharetta,1229,
2024-04-17,Dunwoody PTC,2750,
2024-04-17,E Cobb Roswell,968,
2024-04-17,Sandy Springs,609,
2024-04-17,Intown Druid Hills,2668,
2024-04-17,Groups - Main,2052,
2024-05-01,Alpharetta,1057,
2024-05-01,Dunwoody PTC,2174,
2024-05-01,E Cobb Roswell,1777,
2024-05-01,Decatur,112,
2024-05-01,Sandy Springs,1282,
2024-05-01,Intown Druid Hills,968,
2024-05-01,Flowery Branch,274,
2024-05-01,Groups - Main,2382,
2024-05-08,Alpharetta,1405,
2024-05-08,Dunwoody PTC,1944,
2024-05-08,E Cobb Roswell,916,
2024-05-08,Decatur,72,
2024-05-08,Sandy Springs,1168,
2024-05-08,Intown Druid Hills,507,
2024-05-08,Flowery Branch,244,
2024-05-08,Groups - Main,1559,
2024-05-15,Alpharetta,1355,
2024-05-15,Dunwoody PTC,2477,
2024-05-15,E Cobb Roswell,1259,
2024-05-15,Decatur,92,
2024-05-15,Sandy Springs,581,
2024-05-15,Intown Druid Hills,673,
2024-05-15,Flowery Branch,484,
2024-05-15,Groups - Main,2333,
2024-05-22,Alpharetta,848,
2024-05-22,Dunwoody PTC,2341,
2024-05-22,E Cobb Roswell,582,
2024-05-22,Sandy Springs,644,
2024-05-22,Intown Druid Hills,533,
2024-05-22,Flowery Branch,278,
2024-05-22,Groups - Main,402,
2024-05-28,Alpharetta,584,
2024-05-28,Dunwoody PTC,1740,
2024-05-28,E Cobb Roswell,852,
2024-05-28,Sandy Springs,828,
2024-05-28,Intown Druid Hills,511,
2024-05-28,Flowery Branch,250,
2024-05-28,Groups - Main,806,
2024-06-05,Alpharetta,1569,
2024-06-05,Dunwoody PTC,1552,
2024-06-05,E Cobb Roswell,1436,
2024-06-05,Decatur,159,
2024-06-05,Sandy Springs,721,
2024-06-05,Intown Druid Hills,707,
2024-06-05,Flowery Branch,735,
2024-06-05,Groups - Main,100,
2024-06-12,Alpharetta,2135,
2024-06-12,Dunwoody PTC,2400,
2024-06-12,E Cobb Roswell,2323,
2024-06-12,Decatur,72,
2024-06-12,Sandy Springs,690,
2024-06-12,Intown Druid Hills,751,
2024-06-12,Flowery Branch,125,
2024-06-12,Groups - Main,2084,
2024-06-19,Alpharetta,1218,
2024-06-19,Dunwoody PTC,1980,
2024-06-19,E Cobb Roswell,1695,
2024-06-19,Decatur,74,
2024-06-19,Sandy Springs,1088,
2024-06-19,Intown Druid Hills,586,
2024-06-19,Flowery Branch,454,
2024-06-19,Groups - Main,1432,
2024-06-26,Alpharetta,1198,
2024-06-26,Dunwoody PTC,1272,
2024-06-26,E Cobb Roswell,1715,
2024-06-26,Sandy Springs,789,
2024-06-26,Intown Druid Hills,766,
2024-06-26,Flowery Branch,275,
2024-06-26,Groups - Main,2972,
2024-07-10,Alpharetta,1134,
2024-07-10,Dunwoody PTC,1681,
2024-07-10,E Cobb Roswell,2170,
2024-07-10,Sandy Springs,583,
2024-07-10,Intown Druid Hills,784,
2024-07-10,Flowery Branch,426,
2024-07-10,Groups - Main,3032,
2024-07-17,Alpharetta,3333,
2024-07-17,Dunwoody PTC,1513,
2024-07-17,E Cobb Roswell,1820,
2024-07-17,Decatur,101,
2024-07-17,Sandy Springs,632,
2024-07-17,Intown Druid Hills,1425,
2024-07-17,Flowery Branch,226,
2024-07-17,Groups - Main,2476,
2024-07-24,Alpharetta,871,
2024-07-24,Dunwoody PTC,1989,
2024-07-24,E Cobb Roswell,1962,
2024-07-24,Decatur,54,
2024-07-24,Sandy Springs,889,
2024-07-24,Intown Druid Hills,932,
2024-07-24,Flowery Branch,191,
2024-07-24,Groups - Main,2700,
2024-07-31,Alpharetta,2154,
2024-07-31,Dunwoody PTC,1460,
2024-07-31,E Cobb Roswell,1499,
2024-07-31,Decatur,162,
2024-07-31,Sandy Springs,890,
2024-07-31,Intown Druid Hills,1607,
2024-07-31,Flowery Branch,132,
2024-07-31,Groups - Main,2013,
2024-08-07,Alpharetta,1704,
2024-08-07,Dunwoody PTC,1012,
2024-08-07,E Cobb Roswell,1455,
2024-08-07,Decatur,54,
2024-08-07,Sandy Springs,1074,
2024-08-07,Intown Druid Hills,428,
2024-08-07,Flowery Branch,226,
2024-08-07,Groups - Main,5000,
2024-08-14,Alpharetta,1074,
2024-08-14,Dunwoody PTC,2154,
2024-08-14,E Cobb Roswell,1347,
2024-08-14,Decatur,54,
2024-08-14,Sandy Springs,356,
2024-08-14,Intown Druid Hills,547,
2024-08-14,Flowery Branch,150,
2024-08-14,Groups - Main,450,
2024-08-21,Alpharetta,1018,
2024-08-21,Dunwoody PTC,1698,
2024-08-21,E Cobb Roswell,1327,
2024-08-21,Sandy Springs,445,
2024-08-21,Intown Druid Hills,722,
2024-08-21,Flowery Branch,175,
2024-08-21,Groups - Main,2326,
2024-08-28,Alpharetta,1766,
2024-08-28,Dunwoody PTC,1322,
2024-08-28,E Cobb Roswell,1290,
2024-08-28,Decatur,54,
2024-08-28,Sandy Springs,545,
2024-08-28,Intown Druid Hills,846,
2024-08-28,Flowery Branch,250,
2024-08-28,Groups - Main,200,
2024-09-04,Alpharetta,1210,
2024-09-04,Dunwoody PTC,1184,
2024-09-04,E Cobb Roswell,1148,
2024-09-04,Decatur,54,
2024-09-04,Sandy Springs,434,
2024-09-04,Intown Druid Hills,567,
2024-09-04,Flowery Branch,214,
2024-09-04,Groups - Main,1400,
2024-09-11,Alpharetta,875,
2024-09-11,Dunwoody PTC,1143,
2024-09-11,E Cobb Roswell,1133,
2024-09-11,Decatur,54,
2024-09-11,Sandy Springs,721,
2024-09-11,Intown Druid Hills,1059,
2024-09-11,Flowery Branch,223,
2024-09-11,Groups - Main,3400,
2024-09-18,Alpharetta,1640,
2024-09-18,Dunwoody PTC,724,
2024-09-18,E Cobb Roswell,1323,
2024-09-18,Decatur,118,
2024-09-18,Sandy Springs,747,
2024-09-18,Intown Druid Hills,406,
2024-09-18,Flowery Branch,494,
2024-09-18,Groups - Main,3015,
2024-09-25,Alpharetta,1946,
2024-09-25,Dunwoody PTC,1836,
2024-09-25,E Cobb Roswell,989,
2024-09-25,Sandy Springs,510,
2024-09-25,Intown Druid Hills,791,
2024-09-25,Flowery Branch,545,
2024-09-25,Groups - Main,5650,
2024-10-02,Groups - Main,14023,
2024-10-09,Alpharetta,1493,
2024-10-09,Dunwoody PTC,1284,
2024-10-09,E Cobb Roswell,919,
2024-10-09,Decatur,54,
2024-10-09,Sandy Springs,344,
2024-10-09,Intown Druid Hills,555,
2024-10-09,Flowery Branch,260,
2024-10-09,Groups - Main,1900,
2024-10-16,Alpharetta,1032,
2024-10-16,Dunwoody PTC,1377,
2024-10-16,E Cobb Roswell,1332,
2024-10-16,Decatur,119,
2024-10-16,Sandy Springs,431,
2024-10-16,Intown Druid Hills,1296,
2024-10-16,Flowery Branch,200,
2024-10-16,Groups - Main,3746,
2024-10-23,Alpharetta,618,
2024-10-23,Dunwoody PTC,1774,
2024-10-23,E Cobb Roswell,594,
2024-10-23,Sandy Springs,224,
2024-10-23,Intown Druid Hills,768,
2024-10-23,Flowery Branch,503,
2024-10-23,Groups - Main,4279,
2024-10-30,Alpharetta,1427,
2024-10-30,Dunwoody PTC,2035,
2024-10-30,E Cobb Roswell,1017,
2024-10-30,Sandy Springs,452,
2024-10-30,Intown Druid Hills,1380,
2024-10-30,Flowery Branch,332,
2024-10-30,Groups - Main,1330,
2024-11-06,Alpharetta,1427,
2024-11-06,Dunwoody PTC,1449,
2024-11-06,E Cobb Roswell,1017,
2024-11-06,Sandy Springs,452,
2024-11-06,Intown Druid Hills,1380,
2024-11-06,Flowery Branch,179,
2024-11-06,Groups - Main,550,
2024-11-13,Alpharetta,1226,
2024-11-13,Dunwoody PTC,1396,
2024-11-13,E Cobb Roswell,1389,
2024-11-13,Decatur,54,
2024-11-13,Sandy Springs,554,
2024-11-13,Intown Druid Hills,437,
2024-11-13,Flowery Branch,200,
2024-11-13,Groups - Main,1780,
2024-11-20,Alpharetta,3625,
2024-11-20,Dunwoody PTC,2378,
2024-11-20,E Cobb Roswell,1643,
2024-11-20,Decatur,64,
2024-11-20,Sandy Springs,1087,
2024-11-20,Intown Druid Hills,861,
2024-11-20,Flowery Branch,304,
2024-11-20,Groups - Main,6409,
2024-12-04,Alpharetta,1379,
2024-12-04,Dunwoody PTC,1643,
2024-12-04,E Cobb Roswell,1439,
2024-12-04,Decatur,54,
2024-12-04,Sandy Springs,442,
2024-12-04,Intown Druid Hills,1280,
2024-12-04,Flowery Branch,250,
2024-12-04,Groups - Main,1500,
2024-12-11,Alpharetta,2176,
2024-12-11,Dunwoody PTC,2226,
2024-12-11,E Cobb Roswell,1203,
2024-12-11,Sandy Springs,667,
2024-12-11,Intown Druid Hills,1190,
2024-12-11,Flowery Branch,105,
2024-12-11,Groups - Main,6570,
2024-12-18,Alpharetta,848,
2024-12-18,Dunwoody PTC,1342,
2024-12-18,E Cobb Roswell,1706,
2024-12-18,Sandy Springs,485,
2024-12-18,Intown Druid Hills,922,
2024-12-18,Flowery Branch,426,
2024-12-18,Groups - Main,5100,
2024-12-26,Dunwoody PTC,504,
2024-12-26,Groups - Main,2000,
2025-01-01,Dunwoody PTC,563,
2025-01-01,E Cobb Roswell,185,
2025-01-08,Alpharetta,1571,
2025-01-08,Dunwoody PTC,2397,
2025-01-08,E Cobb Roswell,1115,
2025-01-08,Sandy Springs,301,
2025-01-08,Intown Druid Hills,1064,
2025-01-08,Flowery Branch,426,
2025-01-08,Groups - Main,900,
2025-01-15,Alpharetta,1180,
2025-01-15,Dunwoody PTC,2384,
2025-01-15,E Cobb Roswell,1776,
2025-01-15,Sandy Springs,664,
2025-01-15,Intown Druid Hills,727,
2025-01-15,Flowery Branch,230,
2025-01-15,Groups - Main,1730,
2025-01-20,Alpharetta,436,
2025-01-20,Dunwoody PTC,792,
2025-01-20,E Cobb Roswell,400,
2025-01-20,Sandy Springs,328,
2025-01-20,Intown Druid Hills,2120,
2025-01-22,Alpharetta,864,
2025-01-22,Dunwoody PTC,986,
2025-01-22,E Cobb Roswell,1192,
2025-01-22,Sandy Springs,545,
2025-01-22,Intown Druid Hills,662,
2025-01-22,Flowery Branch,258,
2025-01-22,Alpharetta,1300,
2025-01-22,Dunwoody PTC,1778,
2025-01-22,E Cobb Roswell,1592,
2025-01-22,Sandy Springs,873,
2025-01-22,Intown Druid Hills,2782,
2025-01-22,Flowery Branch,258,
