Week_Number,Date,Total_Sandwiches,Loc_Column,Loc_ALPHARETTA,Loc_DUNWOODY/PTC,Loc_E,Loc_DECATUR,Loc_P'TREE,Loc_UGA/Athens,Loc_SANDY,Loc_INTOWN,Loc_SNELLVILLE,Loc_FLOWERY,Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8
55,2021-05-05 00:00:00,6715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2021-05-12 00:00:00,8579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2021-05-19 00:00:00,5475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2021-05-26 00:00:00,4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2021-06-02 00:00:00,10085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2021-06-09 00:00:00,9454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2021-06-16 00:00:00,6715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2021-06-23 00:00:00,8579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2021-06-30 00:00:00,5475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2021-07-07 00:00:00,4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2021-07-14 00:00:00,4198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2021-07-21 00:00:00,5372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2021-07-28 00:00:00,6175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2021-08-04 00:00:00,5764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2021-08-11 00:00:00,6847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2021-08-18 00:00:00,5245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2021-08-25 00:00:00,4780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2021-09-01 00:00:00,4568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2021-09-08 00:00:00,3989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2021-09-15 00:00:00,4690,0,600,1989,1071,0,160,0,419,0,0,0,0,451,0,0,0,0,0,0
75,2021-09-22 00:00:00,4388,0,790,2008,988,30,99,0,425,0,0,0,0,48,0,0,0,0,0,0
76,2021-09-29 00:00:00,4888,0,594,1865,1855,0,114,0,127,0,0,0,273,60,0,0,0,0,0,0
77,2021-10-06 00:00:00,4648,0,651,2225,866,0,126,0,660,0,0,0,0,120,0,0,0,0,0,0
78,2021-10-13 00:00:00,3916,0,509,1522,1328,9,266,0,210,0,0,0,0,72,0,0,0,0,0,0
79,2021-10-20 00:00:00,4923,0,1005,1874,1218,0,188,0,598,0,0,0,0,40,0,0,0,0,0,0
80,2021-10-27 00:00:00,5801,0,1043,2806,1229,0,130,0,285,0,0,0,0,308,0,0,0,0,0,0
81,2021-11-03 00:00:00,6742,0,1247,2555,2144,0,184,0,500,0,0,0,0,112,0,0,0,0,0,0
82,2021-11-10 00:00:00,6550,0,851,3728,1231,0,245,0,373,0,0,0,0,122,0,0,0,0,0,0
83,2021-11-17 00:00:00,6341,0,777,3517,1180,166,229,0,390,0,0,0,0,82,0,0,0,0,0,0
