ID,Host Name,Individual Sandwiches,Collection Date,Group Collections,Submitted At
2763,"East Cobb/Roswell",950,"2025-04-09","[]","6/8/2025, 1:06:05 PM"
2764,"Sandy Springs",418,"2025-04-09","[]","6/8/2025, 1:06:06 PM"
2765,"Intown/Druid Hills",514,"2025-04-09","[]","6/8/2025, 1:06:06 PM"
2766,"Flowery Branch",225,"2025-04-09","[]","6/8/2025, 1:06:06 PM"
2755,"Dunwoody/PTC",2053,"2025-04-02","[]","6/8/2025, 1:06:05 PM"
2758,"Intown/Druid Hills",1647,"2025-04-02","[]","6/8/2025, 1:06:05 PM"
2757,"Sandy Springs",839,"2025-04-02","[]","6/8/2025, 1:06:05 PM"
2838,"Collective Learning",50,"2025-04-02","[]","6/14/2025, 12:28:11 AM"
2754,"Alpharetta",850,"2025-04-02","[]","6/8/2025, 1:06:05 PM"
2756,"East Cobb/Roswell",878,"2025-04-02","[]","6/8/2025, 1:06:05 PM"
2760,"Groups - Main",0,"2025-04-02","[{"groupName":"Unnamed Groups","sandwichCount":5518}]","6/8/2025, 1:06:05 PM"
2759,"Flowery Branch",272,"2025-04-02","[]","6/8/2025, 1:06:05 PM"
2748,"Dunwoody/PTC",1503,"2025-03-27","[]","6/8/2025, 1:06:04 PM"
2749,"East Cobb/Roswell",907,"2025-03-27","[]","6/8/2025, 1:06:04 PM"
2751,"Intown/Druid Hills",884,"2025-03-27","[]","6/8/2025, 1:06:05 PM"
2750,"Sandy Springs",649,"2025-03-27","[]","6/8/2025, 1:06:04 PM"
2837,"Collective Learning",50,"2025-03-27","[]","6/14/2025, 12:28:11 AM"
2753,"Groups - Main",0,"2025-03-27","[{"groupName":"Unnamed Groups","sandwichCount":3278}]","6/8/2025, 1:06:05 PM"
2747,"Alpharetta",1100,"2025-03-27","[]","6/8/2025, 1:06:04 PM"
2752,"Flowery Branch",256,"2025-03-27","[]","6/8/2025, 1:06:05 PM"
2746,"Groups - Main",0,"2025-03-19","[{"groupName":"Unnamed Groups","sandwichCount":2618}]","6/8/2025, 1:06:04 PM"
2743,"Sandy Springs",601,"2025-03-19","[]","6/8/2025, 1:06:04 PM"
2745,"Flowery Branch",400,"2025-03-19","[]","6/8/2025, 1:06:04 PM"
2744,"Intown/Druid Hills",882,"2025-03-19","[]","6/8/2025, 1:06:04 PM"
2741,"Dunwoody/PTC",1097,"2025-03-19","[]","6/8/2025, 1:06:04 PM"
2836,"Collective Learning",50,"2025-03-19","[]","6/14/2025, 12:28:11 AM"
2742,"East Cobb/Roswell",1270,"2025-03-19","[]","6/8/2025, 1:06:04 PM"
2740,"Alpharetta",1106,"2025-03-19","[]","6/8/2025, 1:06:04 PM"
2738,"Flowery Branch",275,"2025-03-12","[]","6/8/2025, 1:06:03 PM"
2733,"Alpharetta",1301,"2025-03-12","[]","6/8/2025, 1:06:03 PM"
2736,"Sandy Springs",485,"2025-03-12","[]","6/8/2025, 1:06:03 PM"
2739,"Groups - Main",0,"2025-03-12","[{"groupName":"Unnamed Groups","sandwichCount":4780}]","6/8/2025, 1:06:04 PM"
2735,"East Cobb/Roswell",1597,"2025-03-12","[]","6/8/2025, 1:06:03 PM"
2734,"Dunwoody/PTC",840,"2025-03-12","[]","6/8/2025, 1:06:03 PM"
2737,"Intown/Druid Hills",796,"2025-03-12","[]","6/8/2025, 1:06:03 PM"
2835,"Collective Learning",50,"2025-03-12","[]","6/14/2025, 12:28:11 AM"
2730,"Intown/Druid Hills",815,"2025-03-05","[]","6/8/2025, 1:06:03 PM"
2731,"Flowery Branch",351,"2025-03-05","[]","6/8/2025, 1:06:03 PM"
2726,"Alpharetta",1092,"2025-03-05","[]","6/8/2025, 1:06:03 PM"
2728,"East Cobb/Roswell",983,"2025-03-05","[]","6/8/2025, 1:06:03 PM"
2732,"Groups - Main",0,"2025-03-05","[{"groupName":"Unnamed Groups","sandwichCount":4795}]","6/8/2025, 1:06:03 PM"
2834,"Collective Learning",50,"2025-03-05","[]","6/14/2025, 12:28:11 AM"
2729,"Sandy Springs",117,"2025-03-05","[]","6/8/2025, 1:06:03 PM"
2727,"Dunwoody/PTC",769,"2025-03-05","[]","6/8/2025, 1:06:03 PM"
2720,"Dunwoody/PTC",1153,"2025-02-26","[]","6/8/2025, 1:06:02 PM"
2722,"Sandy Springs",650,"2025-02-26","[]","6/8/2025, 1:06:02 PM"
2723,"Intown/Druid Hills",605,"2025-02-26","[]","6/8/2025, 1:06:02 PM"
2721,"East Cobb/Roswell",854,"2025-02-26","[]","6/8/2025, 1:06:02 PM"
2719,"Alpharetta",1010,"2025-02-26","[]","6/8/2025, 1:06:02 PM"
2833,"Collective Learning",50,"2025-02-26","[]","6/14/2025, 12:28:11 AM"
2725,"Groups - Main",0,"2025-02-26","[{"groupName":"Unnamed Groups","sandwichCount":1380}]","6/8/2025, 1:06:02 PM"
2724,"Flowery Branch",516,"2025-02-26","[]","6/8/2025, 1:06:02 PM"
2717,"Flowery Branch",284,"2025-02-19","[]","6/8/2025, 1:06:02 PM"
2832,"Collective Learning",50,"2025-02-19","[]","6/14/2025, 12:28:11 AM"
2712,"Alpharetta",900,"2025-02-19","[]","6/8/2025, 1:06:01 PM"
2715,"Sandy Springs",677,"2025-02-19","[]","6/8/2025, 1:06:02 PM"
2716,"Intown/Druid Hills",1371,"2025-02-19","[]","6/8/2025, 1:06:02 PM"
2713,"Dunwoody/PTC",2667,"2025-02-19","[]","6/8/2025, 1:06:02 PM"
2718,"Groups - Main",0,"2025-02-19","[{"groupName":"Unnamed Groups","sandwichCount":2650}]","6/8/2025, 1:06:02 PM"
2714,"East Cobb/Roswell",1381,"2025-02-19","[]","6/8/2025, 1:06:02 PM"
2831,"Collective Learning",50,"2025-02-12","[]","6/14/2025, 12:28:11 AM"
2707,"East Cobb/Roswell",976,"2025-02-12","[]","6/8/2025, 1:06:01 PM"
2710,"Flowery Branch",141,"2025-02-12","[]","6/8/2025, 1:06:01 PM"
2706,"Dunwoody/PTC",1272,"2025-02-12","[]","6/8/2025, 1:06:01 PM"
2708,"Sandy Springs",538,"2025-02-12","[]","6/8/2025, 1:06:01 PM"
2705,"Alpharetta",1852,"2025-02-12","[]","6/8/2025, 1:06:01 PM"
2709,"Intown/Druid Hills",719,"2025-02-12","[]","6/8/2025, 1:06:01 PM"
2711,"Groups - Main",0,"2025-02-12","[{"groupName":"Unnamed Groups","sandwichCount":4474}]","6/8/2025, 1:06:01 PM"
2702,"Sandy Springs",549,"2025-02-05","[]","6/8/2025, 1:06:01 PM"
