# Sandwich Collections Report
# Generated: 6/30/2025, 4:52:20 AM
# Date Range: Jan 01, 2024 - Dec 31, 2024
# Total Records: 357

# EXECUTIVE SUMMARY
Total Sandwiches,295376
Total Hosts,0
Active Projects,0

# TOP PERFORMERS
Name,Count
"Dunwoody/PTC",80330
"Alpharetta",66595
"East Cobb/Roswell",60996
"Intown/Druid Hills",40786
"Sandy Springs",30560

# DETAILED DATA
id,date,hostName,individualSandwiches,groupCollections,submittedAt
"2618","2024-11-06","Intown/Druid Hills","1380","[]","Sun Jun 08 2025 17:05:54 GMT+0000 (Coordinated Universal Time)"
"2619","2024-11-06","Flowery Branch","179","[]","Sun Jun 08 2025 17:05:54 GMT+0000 (Coordinated Universal Time)"
"2620","2024-11-06","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":550}]","Sun Jun 08 2025 17:05:54 GMT+0000 (Coordinated Universal Time)"
"2617","2024-11-06","Sandy Springs","452","[]","Sun Jun 08 2025 17:05:54 GMT+0000 (Coordinated Universal Time)"
"2609","2024-10-30","East Cobb/Roswell","1017","[]","Sun Jun 08 2025 17:05:53 GMT+0000 (Coordinated Universal Time)"
"2612","2024-10-30","Flowery Branch","332","[]","Sun Jun 08 2025 17:05:54 GMT+0000 (Coordinated Universal Time)"
"2611","2024-10-30","Intown/Druid Hills","1380","[]","Sun Jun 08 2025 17:05:54 GMT+0000 (Coordinated Universal Time)"
"2608","2024-10-30","Dunwoody/PTC","2035","[]","Sun Jun 08 2025 17:05:53 GMT+0000 (Coordinated Universal Time)"
"2610","2024-10-30","Sandy Springs","452","[]","Sun Jun 08 2025 17:05:53 GMT+0000 (Coordinated Universal Time)"
"2607","2024-10-30","Alpharetta","1427","[]","Sun Jun 08 2025 17:05:53 GMT+0000 (Coordinated Universal Time)"
"2613","2024-10-30","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":1330}]","Sun Jun 08 2025 17:05:54 GMT+0000 (Coordinated Universal Time)"
"2606","2024-10-23","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":4279}]","Sun Jun 08 2025 17:05:53 GMT+0000 (Coordinated Universal Time)"
